student_dim_id,sis_user_id,student_label,grade_level,attendance_category,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,boy_assignment_label,eoy_assignment_label,assignment_01_score,assignment_02_score,observed_growth_delta,modeled_assignment_02_growth_delta,posterior_readiness_after_assignment_02,assignment_02_generation_mode,academic_profile_status
17,SYN-SIS-000017,Synthetic Student 017,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,15.53,34.89,19.36,19.36,33.175,school_year_growth_from_latent_readiness,updated_assignment_02
35,SYN-SIS-000035,Synthetic Student 035,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,11.52,21.55,10.030000000000001,10.03,21.4581,school_year_growth_from_latent_readiness,updated_assignment_02
46,SYN-SIS-000046,Synthetic Student 046,9,normal,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,43.95,55.06,11.11,11.11,53.382,school_year_growth_from_latent_readiness,updated_assignment_02
50,SYN-SIS-000050,Synthetic Student 050,9,normal,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,Assignment 02,24.35,30.8,6.449999999999999,6.45,30.7024,school_year_growth_from_latent_readiness,updated_assignment_02
65,SYN-SIS-000065,Synthetic Student 065,9,normal,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,Assignment 02,21.39,32.71,11.32,11.32,31.9862,school_year_growth_from_latent_readiness,updated_assignment_02
81,SYN-SIS-000081,Synthetic Student 081,9,normal,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,91.85,94.94,3.0900000000000034,3.09,92.4112,school_year_growth_from_latent_readiness,updated_assignment_02
86,SYN-SIS-000086,Synthetic Student 086,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,Assignment 02,58.31,63.55,5.239999999999995,5.24,62.1547,school_year_growth_from_latent_readiness,updated_assignment_02
100,SYN-SIS-000100,Synthetic Student 100,9,normal,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,14.3,21.98,7.68,7.68,22.1312,school_year_growth_from_latent_readiness,updated_assignment_02
113,SYN-SIS-000113,Synthetic Student 113,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,15.23,22.82,7.59,7.59,22.9445,school_year_growth_from_latent_readiness,updated_assignment_02
142,SYN-SIS-000142,Synthetic Student 142,9,normal,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,32.97,37.55,4.579999999999998,4.58,37.3655,school_year_growth_from_latent_readiness,updated_assignment_02
