course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,assignment_label,sequence_index,assessment_window,enrolled_students,present_students,nonparticipation_rate,avg_present_score,min_present_score,max_present_score
MATH-ALG1,Algebra 1,regular,SEC-001,Algebra 1 - Synthetic Section 01,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,11,11,0.0,43.16,19.36,85.69
MATH-ALG1,Algebra 1,regular,SEC-001,Algebra 1 - Synthetic Section 01,TCH-001,Teacher 01,Assignment 02,2,end_of_year,11,10,0.0909,48.86,32.21,83.92
MATH-ALG1,Algebra 1,regular,SEC-002,Algebra 1 - Synthetic Section 02,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,10,10,0.0,28.13,8.2,48.3
MATH-ALG1,Algebra 1,regular,SEC-002,Algebra 1 - Synthetic Section 02,TCH-001,Teacher 01,Assignment 02,2,end_of_year,10,10,0.0,37.13,20.43,49.07
MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,18,18,0.0,55.59,16.13,86.87
MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,Assignment 02,2,end_of_year,18,16,0.1111,58.6,24.87,82.05
MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,17,15,0.1176,48.45,12.0,89.82
MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,Assignment 02,2,end_of_year,17,14,0.1765,56.63,29.7,86.25
MATH-ALG2-H,Honors Algebra 2,honors,SEC-011,Honors Algebra 2 - Synthetic Section 11,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,11,7,0.3636,51.08,19.08,73.62
MATH-ALG2-H,Honors Algebra 2,honors,SEC-011,Honors Algebra 2 - Synthetic Section 11,TCH-003,Teacher 03,Assignment 02,2,end_of_year,11,11,0.0,59.43,31.64,81.36
MATH-ALG2-H,Honors Algebra 2,honors,SEC-012,Honors Algebra 2 - Synthetic Section 12,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,11,10,0.0909,37.96,8.68,84.19
MATH-ALG2-H,Honors Algebra 2,honors,SEC-012,Honors Algebra 2 - Synthetic Section 12,TCH-003,Teacher 03,Assignment 02,2,end_of_year,11,11,0.0,47.66,27.1,81.58
MATH-ALG2-H,Honors Algebra 2,honors,SEC-013,Honors Algebra 2 - Synthetic Section 13,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,11,10,0.0909,46.15,9.23,84.38
MATH-ALG2-H,Honors Algebra 2,honors,SEC-013,Honors Algebra 2 - Synthetic Section 13,TCH-003,Teacher 03,Assignment 02,2,end_of_year,11,11,0.0,54.03,24.46,82.91
MATH-ALG2-H,Honors Algebra 2,honors,SEC-014,Honors Algebra 2 - Synthetic Section 14,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,10,9,0.1,59.9,7.73,91.23
MATH-ALG2-H,Honors Algebra 2,honors,SEC-014,Honors Algebra 2 - Synthetic Section 14,TCH-003,Teacher 03,Assignment 02,2,end_of_year,10,10,0.0,67.56,28.84,89.13
MATH-AP-CALC-AB,AP Calculus AB,ap,SEC-020,AP Calculus AB - Synthetic Section 20,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,13,13,0.0,56.03,15.89,98.96
MATH-AP-CALC-AB,AP Calculus AB,ap,SEC-020,AP Calculus AB - Synthetic Section 20,TCH-004,Teacher 04,Assignment 02,2,end_of_year,13,11,0.1538,57.55,29.31,87.43
