student_dim_id,sis_user_id,student_label,grade_level,attendance_category,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,assignment_01_score,assignment_02_score,observed_growth_delta,modeled_assignment_02_growth_delta,posterior_readiness_after_assignment_02,assignment_02_generation_mode,academic_profile_status
115,SYN-SIS-000115,Synthetic Student 115,10,high,MATH-ALG1,Algebra 1,regular,SEC-001,Algebra 1 - Synthetic Section 01,TCH-001,Teacher 01,85.69,83.92,-1.77,-1.77,78.1593,growth_from_assignment_01,updated_assignment_02
254,SYN-SIS-000254,Synthetic Student 254,10,normal,MATH-ALG1,Algebra 1,regular,SEC-002,Algebra 1 - Synthetic Section 02,TCH-001,Teacher 01,24.34,29.15,4.81,4.81,31.8881,growth_from_assignment_01,updated_assignment_02
2,SYN-SIS-000002,Synthetic Student 002,10,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,44.94,46.08,1.14,1.14,46.191,growth_from_assignment_01,updated_assignment_02
14,SYN-SIS-000014,Synthetic Student 014,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,44.38,0,,,,absent_no_update,initialized_assignment_01
23,SYN-SIS-000023,Synthetic Student 023,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,86.87,82.05,-4.82000000000001,-4.82,76.5794,growth_from_assignment_01,updated_assignment_02
33,SYN-SIS-000033,Synthetic Student 033,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,49.43,58.47,9.04,9.04,56.6584,growth_from_assignment_01,updated_assignment_02
59,SYN-SIS-000059,Synthetic Student 059,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,16.13,24.87,8.74,8.74,28.2722,growth_from_assignment_01,updated_assignment_02
61,SYN-SIS-000061,Synthetic Student 061,10,normal,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,30.27,30.96,0.690000000000001,0.69,33.4172,growth_from_assignment_01,updated_assignment_02
66,SYN-SIS-000066,Synthetic Student 066,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,43.33,46.96,3.63,3.63,46.9344,growth_from_assignment_01,updated_assignment_02
69,SYN-SIS-000069,Synthetic Student 069,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,76.96,71.12,-5.83999999999999,-5.84,67.3455,growth_from_assignment_01,updated_assignment_02
76,SYN-SIS-000076,Synthetic Student 076,10,high,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,38.76,49.73,10.97,10.97,49.2746,growth_from_assignment_01,updated_assignment_02
79,SYN-SIS-000079,Synthetic Student 079,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,70.98,67.79,-3.19,-3.19,64.5322,growth_from_assignment_01,updated_assignment_02
87,SYN-SIS-000087,Synthetic Student 087,10,high,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,41.3,44.93,3.63,3.63,45.2194,growth_from_assignment_01,updated_assignment_02
88,SYN-SIS-000088,Synthetic Student 088,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,66.37,58.11,-8.26000000000001,-8.26,56.3543,growth_from_assignment_01,updated_assignment_02
91,SYN-SIS-000091,Synthetic Student 091,10,high,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,75.51,74.28,-1.23,-1.23,70.0151,growth_from_assignment_01,updated_assignment_02
97,SYN-SIS-000097,Synthetic Student 097,10,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,89.82,86.25,-3.56999999999999,-3.57,80.1277,growth_from_assignment_01,updated_assignment_02
121,SYN-SIS-000121,Synthetic Student 121,10,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,28.8,37.11,8.31,8.31,38.6129,growth_from_assignment_01,updated_assignment_02
