course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,assignment_label,sequence_index,assessment_window,enrolled_students,present_students,nonparticipation_rate,avg_present_score,min_present_score,max_present_score
MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,11,10,0.0909,31.2,11.52,91.85
MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 02,2,end_of_year,11,11,0.0,43.29,21.55,94.94
MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,10,9,0.1,31.42,10.9,73.3
MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 02,2,end_of_year,10,10,0.0,40.25,15.75,74.41
MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,3,beginning_of_year,13,11,0.1538,35.93,4.91,61.4
MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 04,4,end_of_year,13,12,0.0769,44.12,13.74,63.66
MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,5,beginning_of_year,13,12,0.0769,34.42,12.62,65.0
MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 06,6,end_of_year,13,11,0.1538,40.89,18.5,78.15
MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 07,7,beginning_of_year,8,7,0.125,37.15,24.36,66.77
MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 08,8,end_of_year,8,8,0.0,45.81,32.74,72.62
MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 07,7,beginning_of_year,8,8,0.0,35.26,16.64,61.35
MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 08,8,end_of_year,8,7,0.125,42.61,20.09,69.39
MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,9,beginning_of_year,10,9,0.1,43.04,34.21,59.75
MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 10,10,end_of_year,10,10,0.0,48.46,30.22,64.35
MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,9,beginning_of_year,9,9,0.0,45.48,20.53,85.1
MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 10,10,end_of_year,9,8,0.1111,54.59,28.12,87.58
MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,11,beginning_of_year,13,11,0.1538,48.65,11.14,89.91
MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 12,12,end_of_year,13,12,0.0769,46.79,19.69,88.92
MATH-ALG1,Algebra 1,regular,Y06-SEC-001,Algebra 1 - Synthetic Section 07-01,TCH-001,Teacher 01,Assignment 13,13,beginning_of_year,13,13,0.0,42.09,5.31,79.02
MATH-ALG1,Algebra 1,regular,Y06-SEC-001,Algebra 1 - Synthetic Section 07-01,TCH-001,Teacher 01,Assignment 14,14,end_of_year,13,13,0.0,49.22,21.01,80.15
MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,12,11,0.0833,43.59,16.45,77.21
MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,Assignment 02,2,end_of_year,12,10,0.1667,44.18,26.0,80.29
MATH-ALG2,Algebra 2,regular,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,12,11,0.0833,52.73,23.81,95.39
MATH-ALG2,Algebra 2,regular,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,TCH-002,Teacher 02,Assignment 02,2,end_of_year,12,11,0.0833,59.45,30.77,91.22
MATH-ALG2,Algebra 2,regular,Y00-SEC-011,Algebra 2 - Synthetic Section 01-11,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,11,10,0.0909,46.23,19.39,93.93
MATH-ALG2,Algebra 2,regular,Y00-SEC-011,Algebra 2 - Synthetic Section 01-11,TCH-003,Teacher 03,Assignment 02,2,end_of_year,11,11,0.0,52.18,25.07,99.28
MATH-ALG2,Algebra 2,regular,Y01-SEC-006,Algebra 2 - Synthetic Section 02-06,TCH-002,Teacher 02,Assignment 03,3,beginning_of_year,11,10,0.0909,30.74,11.2,49.17
MATH-ALG2,Algebra 2,regular,Y01-SEC-006,Algebra 2 - Synthetic Section 02-06,TCH-002,Teacher 02,Assignment 04,4,end_of_year,11,10,0.0909,40.63,23.16,55.4
