assignment_label,assessment_window,grade_level,attendance_category,course_track,student_assignment_rows,present_rows,nonparticipation_zero_rows,nonparticipation_rate,avg_present_score
Assignment 01,beginning_of_year,9,at_risk,honors,3,1,2,0.6667,12.49
Assignment 01,beginning_of_year,9,at_risk,regular,8,5,3,0.375,50.36
Assignment 01,beginning_of_year,9,high,ap,2,2,0,0.0,49.25
Assignment 01,beginning_of_year,9,high,honors,7,6,1,0.1429,39.15
Assignment 01,beginning_of_year,9,high,regular,29,29,0,0.0,32.28
Assignment 01,beginning_of_year,9,normal,ap,1,1,0,0.0,49.94
Assignment 01,beginning_of_year,9,normal,honors,8,6,2,0.25,28.9
Assignment 01,beginning_of_year,9,normal,regular,31,30,1,0.0323,41.59
Assignment 01,beginning_of_year,10,at_risk,ap,1,1,0,0.0,31.13
Assignment 01,beginning_of_year,10,at_risk,regular,4,4,0,0.0,38.83
Assignment 01,beginning_of_year,10,high,ap,6,6,0,0.0,49.54
Assignment 01,beginning_of_year,10,high,honors,13,13,0,0.0,58.01
Assignment 01,beginning_of_year,10,high,regular,23,22,1,0.0435,51.75
Assignment 01,beginning_of_year,10,normal,ap,7,6,1,0.1429,51.16
Assignment 01,beginning_of_year,10,normal,honors,4,4,0,0.0,58.96
Assignment 01,beginning_of_year,10,normal,regular,18,17,1,0.0556,41.95
Assignment 01,beginning_of_year,11,at_risk,ap,3,2,1,0.3333,65.59
Assignment 01,beginning_of_year,11,at_risk,regular,5,2,3,0.6,62.83
Assignment 01,beginning_of_year,11,high,ap,14,14,0,0.0,50.89
Assignment 01,beginning_of_year,11,high,honors,3,3,0,0.0,63.29
Assignment 01,beginning_of_year,11,high,regular,9,9,0,0.0,47.45
Assignment 01,beginning_of_year,11,normal,ap,15,15,0,0.0,50.3
Assignment 01,beginning_of_year,11,normal,honors,5,3,2,0.4,45.71
Assignment 01,beginning_of_year,11,normal,regular,9,8,1,0.1111,44.29
Assignment 01,beginning_of_year,12,at_risk,ap,7,7,0,0.0,65.31
Assignment 01,beginning_of_year,12,high,ap,21,21,0,0.0,49.74
Assignment 01,beginning_of_year,12,high,regular,3,3,0,0.0,71.2
Assignment 01,beginning_of_year,12,normal,ap,24,24,0,0.0,48.6
Assignment 01,beginning_of_year,12,normal,regular,4,4,0,0.0,66.51
Assignment 02,end_of_year,9,at_risk,honors,3,3,0,0.0,46.46
Assignment 02,end_of_year,9,at_risk,regular,8,4,4,0.5,52.52
Assignment 02,end_of_year,9,high,ap,2,2,0,0.0,56.32
Assignment 02,end_of_year,9,high,honors,7,7,0,0.0,48.3
Assignment 02,end_of_year,9,high,regular,29,29,0,0.0,42.33
Assignment 02,end_of_year,9,normal,ap,1,1,0,0.0,56.99
Assignment 02,end_of_year,9,normal,honors,8,8,0,0.0,49.85
Assignment 02,end_of_year,9,normal,regular,31,28,3,0.0968,45.48
Assignment 02,end_of_year,10,at_risk,ap,1,0,1,1.0,
Assignment 02,end_of_year,10,at_risk,regular,4,1,3,0.75,57.76
Assignment 02,end_of_year,10,high,ap,6,6,0,0.0,57.22
Assignment 02,end_of_year,10,high,honors,13,13,0,0.0,63.47
Assignment 02,end_of_year,10,high,regular,23,22,1,0.0435,56.61
Assignment 02,end_of_year,10,normal,ap,7,7,0,0.0,59.34
Assignment 02,end_of_year,10,normal,honors,4,4,0,0.0,63.55
Assignment 02,end_of_year,10,normal,regular,18,16,2,0.1111,48.83
Assignment 02,end_of_year,11,at_risk,ap,3,2,1,0.3333,71.23
Assignment 02,end_of_year,11,at_risk,regular,5,3,2,0.4,61.55
Assignment 02,end_of_year,11,high,ap,14,14,0,0.0,57.56
Assignment 02,end_of_year,11,high,honors,3,3,0,0.0,68.5
Assignment 02,end_of_year,11,high,regular,9,9,0,0.0,52.33
Assignment 02,end_of_year,11,normal,ap,15,15,0,0.0,55.5
Assignment 02,end_of_year,11,normal,honors,5,5,0,0.0,57.33
Assignment 02,end_of_year,11,normal,regular,9,8,1,0.1111,55.98
Assignment 02,end_of_year,12,at_risk,ap,7,5,2,0.2857,62.1
Assignment 02,end_of_year,12,high,ap,21,21,0,0.0,54.62
Assignment 02,end_of_year,12,high,regular,3,3,0,0.0,71.34
Assignment 02,end_of_year,12,normal,ap,24,23,1,0.0417,55.71
Assignment 02,end_of_year,12,normal,regular,4,3,1,0.25,67.67
