response_id,support_model,assessment_window,score_percent,completion_time_minutes
raincloud_response_001_001,Baseline review,midcycle,72.3,45.2
raincloud_response_001_002,Baseline review,postcycle,77.4,33.7
raincloud_response_001_003,Baseline review,postcycle,79.6,38
raincloud_response_001_004,Baseline review,diagnostic,28.8,37.1
raincloud_response_001_005,Baseline review,diagnostic,52.1,24.9
raincloud_response_001_006,Baseline review,postcycle,34.7,38.2
raincloud_response_001_007,Baseline review,diagnostic,30.5,31
raincloud_response_001_008,Baseline review,diagnostic,65.8,32.9
raincloud_response_001_009,Baseline review,midcycle,72.6,27.8
raincloud_response_001_010,Baseline review,diagnostic,27.1,34.5
raincloud_response_001_011,Baseline review,postcycle,43,48.8
raincloud_response_001_012,Baseline review,diagnostic,54.8,34.3
raincloud_response_001_013,Baseline review,midcycle,69.7,31
raincloud_response_001_014,Baseline review,diagnostic,77.3,40.7
raincloud_response_001_015,Baseline review,postcycle,41.6,31.2
raincloud_response_001_016,Baseline review,midcycle,34.7,15.6
raincloud_response_001_017,Baseline review,postcycle,72.8,25.5
raincloud_response_001_018,Baseline review,diagnostic,51.6,32.2
raincloud_response_001_019,Baseline review,diagnostic,47.7,37
raincloud_response_001_020,Baseline review,midcycle,57.2,31.7
raincloud_response_001_021,Baseline review,postcycle,62.1,23.7
raincloud_response_001_022,Baseline review,midcycle,80.5,30.6
raincloud_response_001_023,Baseline review,postcycle,59.1,35.2
raincloud_response_001_024,Baseline review,diagnostic,32.4,34.3
raincloud_response_001_025,Baseline review,midcycle,43.6,17.8
raincloud_response_001_026,Baseline review,postcycle,72.8,36.5
raincloud_response_001_027,Baseline review,postcycle,63.9,34.2
raincloud_response_001_028,Baseline review,midcycle,78.6,41.8
raincloud_response_001_029,Baseline review,postcycle,20.8,28
raincloud_response_001_030,Baseline review,midcycle,74.8,40.2
raincloud_response_001_031,Baseline review,postcycle,66.7,28.2
raincloud_response_001_032,Baseline review,diagnostic,28.7,46.9
raincloud_response_001_033,Baseline review,diagnostic,22.1,31.7
raincloud_response_001_034,Baseline review,midcycle,72.2,31.5
raincloud_response_001_035,Baseline review,midcycle,68.2,30.2
raincloud_response_001_036,Baseline review,midcycle,54.8,29.4
raincloud_response_001_037,Baseline review,midcycle,47.2,33.6
raincloud_response_001_038,Baseline review,diagnostic,72.4,30.7
raincloud_response_001_039,Baseline review,diagnostic,50.3,26.7
raincloud_response_001_040,Baseline review,diagnostic,77.3,35.9
raincloud_response_001_041,Baseline review,midcycle,88.2,38.6
raincloud_response_001_042,Baseline review,midcycle,70.3,42
raincloud_response_001_043,Baseline review,diagnostic,34,35.3
raincloud_response_001_044,Baseline review,postcycle,90.2,28.7
raincloud_response_001_045,Baseline review,postcycle,77.8,40.4
raincloud_response_001_046,Baseline review,postcycle,83.3,17.3
raincloud_response_001_047,Baseline review,postcycle,70.3,44
raincloud_response_001_048,Baseline review,diagnostic,36.9,47.5
raincloud_response_001_049,Baseline review,postcycle,86,33.7
raincloud_response_001_050,Baseline review,postcycle,50.8,30.1
raincloud_response_001_051,Baseline review,midcycle,68.5,46.3
raincloud_response_001_052,Baseline review,postcycle,56.5,32.6
raincloud_response_001_053,Baseline review,diagnostic,53.5,27.1
raincloud_response_001_054,Baseline review,postcycle,78.2,31.9
raincloud_response_001_055,Baseline review,postcycle,39.1,24.7
raincloud_response_001_056,Baseline review,postcycle,77.5,32.8
raincloud_response_001_057,Baseline review,midcycle,44.9,34.1
raincloud_response_001_058,Baseline review,diagnostic,44.8,51.3
raincloud_response_001_059,Baseline review,midcycle,66.2,38.4
raincloud_response_001_060,Baseline review,postcycle,86.9,26.6
raincloud_response_001_061,Baseline review,diagnostic,71.3,25.1
raincloud_response_001_062,Baseline review,postcycle,56.5,42.8
raincloud_response_001_063,Baseline review,postcycle,46.6,38.2
