case_id,task_family,predicted_mastery_probability,true_mastery_probability,observed_mastery
calibration_case_0001,Conceptual explanation,0.7301,0.6583,1
calibration_case_0002,Multi-step modeling,0.3277,0.2762,0
calibration_case_0003,Procedural fluency,0.6284,0.5845,1
calibration_case_0004,Procedural fluency,0.8411,0.7858,1
calibration_case_0005,Conceptual explanation,0.928,0.8774,1
calibration_case_0006,Multi-step modeling,0.3388,0.2846,1
calibration_case_0007,Conceptual explanation,0.3155,0.3035,0
calibration_case_0008,Procedural fluency,0.6815,0.6316,1
calibration_case_0009,Conceptual explanation,0.2092,0.2147,1
calibration_case_0010,Multi-step modeling,0.2452,0.2134,0
calibration_case_0011,Conceptual explanation,0.1889,0.1972,0
calibration_case_0012,Procedural fluency,0.8147,0.7584,1
calibration_case_0013,Procedural fluency,0.6833,0.6331,1
calibration_case_0014,Conceptual explanation,0.6702,0.6024,1
calibration_case_0015,Conceptual explanation,0.056,0.0722,1
calibration_case_0016,Procedural fluency,0.8549,0.8005,1
calibration_case_0017,Multi-step modeling,0.7794,0.6682,1
calibration_case_0018,Conceptual explanation,0.5003,0.4554,1
calibration_case_0019,Procedural fluency,0.9612,0.9306,1
calibration_case_0020,Multi-step modeling,0.315,0.2665,0
calibration_case_0021,Multi-step modeling,0.1256,0.1203,0
calibration_case_0022,Conceptual explanation,0.2359,0.2374,0
calibration_case_0023,Procedural fluency,0.7582,0.7027,1
calibration_case_0024,Multi-step modeling,0.8742,0.7805,1
calibration_case_0025,Multi-step modeling,0.437,0.3605,1
calibration_case_0026,Procedural fluency,0.4175,0.4061,1
calibration_case_0027,Conceptual explanation,0.9179,0.8639,1
calibration_case_0028,Multi-step modeling,0.286,0.2444,0
calibration_case_0029,Procedural fluency,0.2507,0.2651,1
calibration_case_0030,Multi-step modeling,0.3738,0.3114,0
calibration_case_0031,Conceptual explanation,0.6457,0.5803,0
calibration_case_0032,Procedural fluency,0.3641,0.3616,1
calibration_case_0033,Conceptual explanation,0.7644,0.6918,1
calibration_case_0034,Multi-step modeling,0.3244,0.2737,0
calibration_case_0035,Procedural fluency,0.898,0.8491,1
calibration_case_0036,Multi-step modeling,0.3427,0.2876,0
calibration_case_0037,Multi-step modeling,0.2998,0.2549,0
calibration_case_0038,Conceptual explanation,0.5613,0.5067,1
calibration_case_0039,Conceptual explanation,0.4259,0.3939,1
calibration_case_0040,Conceptual explanation,0.5567,0.5028,1
calibration_case_0041,Conceptual explanation,0.3825,0.3584,0
calibration_case_0042,Conceptual explanation,0.3516,0.3331,0
calibration_case_0043,Procedural fluency,0.6488,0.6024,0
calibration_case_0044,Procedural fluency,0.5756,0.5389,1
calibration_case_0045,Multi-step modeling,0.5216,0.4287,0
calibration_case_0046,Procedural fluency,0.817,0.7607,1
calibration_case_0047,Conceptual explanation,0.6771,0.6087,1
calibration_case_0048,Multi-step modeling,0.5648,0.4648,1
calibration_case_0049,Multi-step modeling,0.5917,0.4879,1
calibration_case_0050,Multi-step modeling,0.4902,0.403,1
calibration_case_0051,Procedural fluency,0.6301,0.586,0
calibration_case_0052,Conceptual explanation,0.4257,0.3937,0
calibration_case_0053,Conceptual explanation,0.8568,0.7897,0
calibration_case_0054,Conceptual explanation,0.4181,0.3876,0
calibration_case_0055,Conceptual explanation,0.5605,0.5061,0
calibration_case_0056,Multi-step modeling,0.5081,0.4175,0
calibration_case_0057,Procedural fluency,0.7515,0.6962,1
calibration_case_0058,Procedural fluency,0.838,0.7825,0
calibration_case_0059,Procedural fluency,0.9039,0.856,1
calibration_case_0060,Procedural fluency,0.6639,0.6158,1
calibration_case_0061,Conceptual explanation,0.9355,0.8876,1
calibration_case_0062,Procedural fluency,0.5793,0.5421,1
calibration_case_0063,Procedural fluency,0.7117,0.659,1
calibration_case_0064,Procedural fluency,0.7308,0.6767,0
calibration_case_0065,Conceptual explanation,0.1141,0.13,0
calibration_case_0066,Multi-step modeling,0.7413,0.6281,1
calibration_case_0067,Conceptual explanation,0.8822,0.8193,1
calibration_case_0068,Conceptual explanation,0.5324,0.4823,1
calibration_case_0069,Conceptual explanation,0.3039,0.294,1
calibration_case_0070,Conceptual explanation,0.4199,0.389,0
calibration_case_0071,Procedural fluency,0.6288,0.5849,0
calibration_case_0072,Conceptual explanation,0.3359,0.3202,1
calibration_case_0073,Conceptual explanation,0.3405,0.324,0
calibration_case_0074,Conceptual explanation,0.3584,0.3387,0
calibration_case_0075,Multi-step modeling,0.0632,0.0676,0
calibration_case_0076,Multi-step modeling,0.7547,0.642,1
calibration_case_0077,Procedural fluency,0.8121,0.7557,1
calibration_case_0078,Procedural fluency,0.5822,0.5446,1
calibration_case_0079,Multi-step modeling,0.2611,0.2255,0
calibration_case_0080,Multi-step modeling,0.6166,0.5097,0
calibration_case_0081,Conceptual explanation,0.3067,0.2963,0
calibration_case_0082,Conceptual explanation,0.6102,0.549,0
calibration_case_0083,Conceptual explanation,0.6988,0.6287,0
calibration_case_0084,Procedural fluency,0.8277,0.7718,1
calibration_case_0085,Procedural fluency,0.8196,0.7634,1
calibration_case_0086,Multi-step modeling,0.2228,0.1963,1
calibration_case_0087,Procedural fluency,0.8756,0.8233,0
calibration_case_0088,Procedural fluency,0.7885,0.7321,0
calibration_case_0089,Conceptual explanation,0.1728,0.1831,0
calibration_case_0090,Procedural fluency,0.4995,0.4746,0
calibration_case_0091,Procedural fluency,0.7992,0.7428,0
calibration_case_0092,Conceptual explanation,0.5541,0.5006,0
calibration_case_0093,Procedural fluency,0.5817,0.5441,1
calibration_case_0094,Procedural fluency,0.8437,0.7885,1
calibration_case_0095,Multi-step modeling,0.61,0.504,0
calibration_case_0096,Multi-step modeling,0.2083,0.1852,0
calibration_case_0097,Conceptual explanation,0.6715,0.6036,1
calibration_case_0098,Procedural fluency,0.3099,0.3159,1
calibration_case_0099,Multi-step modeling,0.5066,0.4163,0
calibration_case_0100,Multi-step modeling,0.4682,0.3854,1
calibration_case_0101,Procedural fluency,0.9186,0.8739,1
calibration_case_0102,Multi-step modeling,0.489,0.4021,0
calibration_case_0103,Procedural fluency,0.8223,0.7662,1
calibration_case_0104,Multi-step modeling,0.6362,0.5274,0
calibration_case_0105,Procedural fluency,0.6041,0.5634,0
calibration_case_0106,Conceptual explanation,0.4471,0.4114,0
calibration_case_0107,Procedural fluency,0.5277,0.4983,1
calibration_case_0108,Conceptual explanation,0.3802,0.3565,0
calibration_case_0109,Conceptual explanation,0.4047,0.3766,0
calibration_case_0110,Conceptual explanation,0.2172,0.2215,1
calibration_case_0111,Multi-step modeling,0.5534,0.4552,0
calibration_case_0112,Procedural fluency,0.6939,0.6428,0
calibration_case_0113,Multi-step modeling,0.6547,0.5442,0
calibration_case_0114,Multi-step modeling,0.4044,0.3351,0
calibration_case_0115,Conceptual explanation,0.8445,0.7758,1
calibration_case_0116,Procedural fluency,0.604,0.5633,0
calibration_case_0117,Procedural fluency,0.6999,0.6482,1
calibration_case_0118,Multi-step modeling,0.4025,0.3336,0
calibration_case_0119,Conceptual explanation,0.4758,0.4351,1
calibration_case_0120,Multi-step modeling,0.122,0.1173,0
calibration_case_0121,Procedural fluency,0.6569,0.6096,1
calibration_case_0122,Multi-step modeling,0.5339,0.4388,1
calibration_case_0123,Multi-step modeling,0.3911,0.3248,0
calibration_case_0124,Multi-step modeling,0.8551,0.7561,1
calibration_case_0125,Multi-step modeling,0.2805,0.2403,0
calibration_case_0126,Multi-step modeling,0.616,0.5092,1
calibration_case_0127,Multi-step modeling,0.8568,0.7582,1
calibration_case_0128,Conceptual explanation,0.8434,0.7746,1
calibration_case_0129,Procedural fluency,0.8323,0.7766,1
calibration_case_0130,Procedural fluency,0.5094,0.4829,1
calibration_case_0131,Procedural fluency,0.6987,0.6471,0
calibration_case_0132,Procedural fluency,0.6466,0.6005,0
calibration_case_0133,Multi-step modeling,0.4887,0.4018,0
calibration_case_0134,Procedural fluency,0.6183,0.5757,0
calibration_case_0135,Multi-step modeling,0.1692,0.1549,0
calibration_case_0136,Multi-step modeling,0.1718,0.1569,0
calibration_case_0137,Conceptual explanation,0.1141,0.1299,0
calibration_case_0138,Procedural fluency,0.3199,0.3245,0
calibration_case_0139,Multi-step modeling,0.2195,0.1938,0
calibration_case_0140,Procedural fluency,0.7776,0.7214,1
calibration_case_0141,Conceptual explanation,0.3452,0.3279,0
calibration_case_0142,Procedural fluency,0.2212,0.2391,0
calibration_case_0143,Multi-step modeling,0.336,0.2825,1
calibration_case_0144,Procedural fluency,0.3273,0.3307,0
calibration_case_0145,Conceptual explanation,0.5767,0.5199,0
calibration_case_0146,Procedural fluency,0.7688,0.7128,1
calibration_case_0147,Conceptual explanation,0.638,0.5735,1
calibration_case_0148,Procedural fluency,0.5262,0.497,1
calibration_case_0149,Procedural fluency,0.3548,0.3538,1
calibration_case_0150,Procedural fluency,0.7012,0.6494,1
calibration_case_0151,Procedural fluency,0.7767,0.7206,1
calibration_case_0152,Multi-step modeling,0.4687,0.3857,1
calibration_case_0153,Procedural fluency,0.6963,0.645,0
calibration_case_0154,Procedural fluency,0.9749,0.9513,0
calibration_case_0155,Multi-step modeling,0.8462,0.7451,0
calibration_case_0156,Procedural fluency,0.4719,0.4515,1
calibration_case_0157,Conceptual explanation,0.3237,0.3103,0
calibration_case_0158,Procedural fluency,0.7717,0.7157,1
calibration_case_0159,Multi-step modeling,0.3908,0.3245,1
calibration_case_0160,Procedural fluency,0.7571,0.7016,1
calibration_case_0161,Multi-step modeling,0.633,0.5245,0
calibration_case_0162,Conceptual explanation,0.6417,0.5768,0
calibration_case_0163,Conceptual explanation,0.6296,0.566,1
calibration_case_0164,Procedural fluency,0.5741,0.5377,1
calibration_case_0165,Procedural fluency,0.6335,0.5889,1
calibration_case_0166,Multi-step modeling,0.4238,0.3503,0
calibration_case_0167,Conceptual explanation,0.3858,0.3611,0
calibration_case_0168,Conceptual explanation,0.6714,0.6035,0
calibration_case_0169,Conceptual explanation,0.5618,0.5072,0
calibration_case_0170,Procedural fluency,0.8741,0.8217,1
calibration_case_0171,Procedural fluency,0.6676,0.6191,1
calibration_case_0172,Procedural fluency,0.3401,0.3414,1
calibration_case_0173,Multi-step modeling,0.6909,0.5782,1
calibration_case_0174,Multi-step modeling,0.5769,0.4751,1
calibration_case_0175,Procedural fluency,0.7982,0.7418,1
calibration_case_0176,Procedural fluency,0.3234,0.3273,0
calibration_case_0177,Procedural fluency,0.7749,0.7188,1
calibration_case_0178,Procedural fluency,0.6172,0.5747,1
calibration_case_0179,Procedural fluency,0.2776,0.2884,0
calibration_case_0180,Conceptual explanation,0.6452,0.5799,1
calibration_case_0181,Multi-step modeling,0.3989,0.3308,0
calibration_case_0182,Conceptual explanation,0.4383,0.4041,0
calibration_case_0183,Procedural fluency,0.8436,0.7885,1
calibration_case_0184,Procedural fluency,0.783,0.7267,1
calibration_case_0185,Procedural fluency,0.6017,0.5613,0
calibration_case_0186,Multi-step modeling,0.6867,0.5743,0
calibration_case_0187,Procedural fluency,0.7771,0.7209,1
calibration_case_0188,Procedural fluency,0.5198,0.4916,0
calibration_case_0189,Multi-step modeling,0.7878,0.6774,1
calibration_case_0190,Procedural fluency,0.8126,0.7562,1
calibration_case_0191,Procedural fluency,0.4168,0.4056,1
calibration_case_0192,Multi-step modeling,0.2021,0.1804,0
calibration_case_0193,Procedural fluency,0.6327,0.5883,1
calibration_case_0194,Multi-step modeling,0.6963,0.5834,0
calibration_case_0195,Multi-step modeling,0.5191,0.4266,0
calibration_case_0196,Procedural fluency,0.6415,0.596,1
calibration_case_0197,Multi-step modeling,0.6822,0.57,0
calibration_case_0198,Multi-step modeling,0.4873,0.4007,0
calibration_case_0199,Procedural fluency,0.2287,0.2458,0
calibration_case_0200,Procedural fluency,0.6147,0.5725,0
calibration_case_0201,Multi-step modeling,0.3296,0.2776,0
calibration_case_0202,Procedural fluency,0.8647,0.8112,1
calibration_case_0203,Procedural fluency,0.1441,0.1685,1
calibration_case_0204,Procedural fluency,0.765,0.7092,1
calibration_case_0205,Procedural fluency,0.739,0.6844,1
calibration_case_0206,Procedural fluency,0.9421,0.9041,0
calibration_case_0207,Multi-step modeling,0.5638,0.4639,1
calibration_case_0208,Procedural fluency,0.3418,0.3429,0
calibration_case_0209,Conceptual explanation,0.5341,0.4837,1
calibration_case_0210,Procedural fluency,0.477,0.4558,0
calibration_case_0211,Multi-step modeling,0.3697,0.3083,0
calibration_case_0212,Conceptual explanation,0.4743,0.4338,0
calibration_case_0213,Conceptual explanation,0.6544,0.5882,1
calibration_case_0214,Conceptual explanation,0.6137,0.552,1
calibration_case_0215,Multi-step modeling,0.5135,0.422,1
calibration_case_0216,Procedural fluency,0.6253,0.5818,0
calibration_case_0217,Procedural fluency,0.6136,0.5716,1
calibration_case_0218,Conceptual explanation,0.5737,0.5173,1
calibration_case_0219,Procedural fluency,0.8963,0.8471,1
calibration_case_0220,Multi-step modeling,0.0844,0.0861,0
calibration_case_0221,Procedural fluency,0.685,0.6347,0
calibration_case_0222,Conceptual explanation,0.8213,0.7505,1
calibration_case_0223,Procedural fluency,0.3663,0.3634,0
calibration_case_0224,Multi-step modeling,0.6919,0.5792,1
calibration_case_0225,Multi-step modeling,0.7128,0.5996,1
calibration_case_0226,Procedural fluency,0.8117,0.7554,1
calibration_case_0227,Procedural fluency,0.4017,0.393,1
calibration_case_0228,Procedural fluency,0.8203,0.7641,1
calibration_case_0229,Procedural fluency,0.6735,0.6244,0
calibration_case_0230,Conceptual explanation,0.6579,0.5913,0
calibration_case_0231,Conceptual explanation,0.7207,0.6494,0
calibration_case_0232,Procedural fluency,0.7823,0.726,1
calibration_case_0233,Conceptual explanation,0.7092,0.6385,0
calibration_case_0234,Multi-step modeling,0.4776,0.3928,0
calibration_case_0235,Multi-step modeling,0.1784,0.1621,0
calibration_case_0236,Multi-step modeling,0.4008,0.3323,0
calibration_case_0237,Procedural fluency,0.8121,0.7558,1
calibration_case_0238,Multi-step modeling,0.2105,0.1869,0
calibration_case_0239,Conceptual explanation,0.7414,0.6692,0
calibration_case_0240,Procedural fluency,0.3335,0.3359,1
calibration_case_0241,Procedural fluency,0.849,0.7942,1
calibration_case_0242,Procedural fluency,0.3116,0.3174,0
calibration_case_0243,Conceptual explanation,0.5626,0.5078,0
calibration_case_0244,Procedural fluency,0.7392,0.6847,1
calibration_case_0245,Conceptual explanation,0.3407,0.3242,0
calibration_case_0246,Procedural fluency,0.3053,0.3121,1
calibration_case_0247,Procedural fluency,0.7679,0.712,1
calibration_case_0248,Multi-step modeling,0.496,0.4077,1
calibration_case_0249,Conceptual explanation,0.5611,0.5066,1
calibration_case_0250,Conceptual explanation,0.3835,0.3592,0
calibration_case_0251,Procedural fluency,0.9394,0.9005,1
