response_id,readiness_index,practice_completion_rate,growth_points,assessment_form
relationship_response_0001,17,0.132,-7.4,Form A
relationship_response_0002,48.7,0.499,12.2,Form B
relationship_response_0003,83.2,0.628,34.4,Form A
relationship_response_0004,74.7,0.488,30.7,Form A
relationship_response_0005,84.1,0.945,41.4,Form A
relationship_response_0006,76.5,0.48,25.2,Form A
relationship_response_0007,61.8,0.306,6.7,Form B
relationship_response_0008,40.1,0.611,8.3,Form C
relationship_response_0009,84.1,0.797,30.5,Form C
relationship_response_0010,33.4,0.317,22.2,Form B
relationship_response_0011,57.2,0.244,11.1,Form B
relationship_response_0012,59.8,0.305,7.9,Form A
relationship_response_0013,71.5,0.119,17.7,Form B
relationship_response_0014,90.8,0.857,18.6,Form C
relationship_response_0015,70.8,0.333,14.2,Form A
relationship_response_0016,43.9,0.327,-3.6,Form A
relationship_response_0017,59.8,0.545,11.9,Form A
relationship_response_0018,32.7,0.385,4.7,Form A
relationship_response_0019,46.3,0.299,1.4,Form B
relationship_response_0020,21.2,0.361,-2.4,Form B
relationship_response_0021,41.2,0.217,-6.2,Form C
relationship_response_0022,19.2,0.295,18.2,Form A
relationship_response_0023,45.1,0.475,5.9,Form C
relationship_response_0024,63.9,0.846,15.4,Form C
relationship_response_0025,56.5,0.646,10.3,Form A
relationship_response_0026,52.2,0.289,-14.5,Form C
relationship_response_0027,51.8,0.442,6.5,Form C
relationship_response_0028,67.6,0.571,32.1,Form B
relationship_response_0029,50.3,0.254,15.9,Form A
relationship_response_0030,73.6,0.426,21.1,Form B
relationship_response_0031,59.6,0.453,17.2,Form B
relationship_response_0032,36.2,0.207,16.1,Form C
relationship_response_0033,19.6,0.263,12.3,Form B
relationship_response_0034,47,0.257,-4.8,Form A
relationship_response_0035,40.5,0.351,7.8,Form C
relationship_response_0036,50.6,0.148,-4.1,Form C
relationship_response_0037,83.3,0.837,35.6,Form C
relationship_response_0038,62.9,0.374,19.9,Form B
relationship_response_0039,41.2,0.272,-6.9,Form C
relationship_response_0040,43.4,0.179,24.2,Form B
relationship_response_0041,48.8,0.205,7.7,Form A
relationship_response_0042,71.5,0.543,18.1,Form B
relationship_response_0043,77,0.597,22.3,Form C
relationship_response_0044,47.9,0.653,9.5,Form A
relationship_response_0045,29.6,0.27,2.4,Form B
relationship_response_0046,55.5,0.264,12.3,Form A
relationship_response_0047,70.4,0.74,24.2,Form C
relationship_response_0048,65.1,0.849,18.4,Form A
relationship_response_0049,92.8,0.646,47.8,Form A
relationship_response_0050,48.1,0.496,-4.7,Form C
relationship_response_0051,55.6,0.585,13.4,Form C
relationship_response_0052,77.4,0.721,36.2,Form A
relationship_response_0053,55.1,0.226,9.5,Form B
relationship_response_0054,49.3,0.205,14.6,Form A
relationship_response_0055,57,0.335,6.4,Form B
relationship_response_0056,80.4,0.871,35.7,Form B
relationship_response_0057,72,0.827,12.9,Form A
relationship_response_0058,28.7,0.213,4,Form B
relationship_response_0059,66.9,0.619,16.1,Form A
relationship_response_0060,73.6,0.622,29.3,Form C
relationship_response_0061,69.9,0.456,15.1,Form B
relationship_response_0062,85.6,0.783,52,Form C
relationship_response_0063,51.1,0.246,8.5,Form A
relationship_response_0064,66,0.808,7.6,Form B
relationship_response_0065,30.9,0.286,20,Form C
relationship_response_0066,83.9,0.348,34.9,Form A
relationship_response_0067,61.3,0.816,16.8,Form B
relationship_response_0068,20.6,0.135,4.7,Form B
relationship_response_0069,93.7,0.886,39.1,Form B
relationship_response_0070,81.4,0.64,27.5,Form A
relationship_response_0071,11.2,0.174,1.1,Form A
relationship_response_0072,7.5,0.156,-2.7,Form B
relationship_response_0073,82.1,0.667,10.3,Form C
relationship_response_0074,40.5,0.201,9.3,Form C
relationship_response_0075,56.6,0.52,16.3,Form C
relationship_response_0076,68.2,0.299,19.6,Form C
relationship_response_0077,74.6,0.795,21.7,Form A
relationship_response_0078,33.9,0.518,-7.4,Form C
relationship_response_0079,80.3,0.947,50.6,Form B
relationship_response_0080,62.3,0.67,17.7,Form B
relationship_response_0081,52.3,0.309,7.3,Form A
relationship_response_0082,46.4,0.416,13.5,Form B
relationship_response_0083,85.8,0.809,22.7,Form B
relationship_response_0084,34.6,0.374,13.2,Form A
relationship_response_0085,76.1,0.732,5.3,Form B
relationship_response_0086,69.2,0.654,14.6,Form A
relationship_response_0087,52.2,0.627,21.9,Form A
relationship_response_0088,29.9,0.381,2.2,Form A
relationship_response_0089,84.5,0.533,29,Form B
relationship_response_0090,27.9,0.168,3.6,Form A
relationship_response_0091,13.5,0.201,-8.1,Form C
relationship_response_0092,43.8,0.245,4.2,Form C
relationship_response_0093,26.8,0.375,19.3,Form B
relationship_response_0094,88.3,0.483,31.7,Form B
relationship_response_0095,86.3,0.745,23.7,Form C
relationship_response_0096,67.5,0.447,7.9,Form C
relationship_response_0097,20,0.207,-5.1,Form B
relationship_response_0098,46,0.522,18.8,Form B
relationship_response_0099,81.4,0.734,36.2,Form B
relationship_response_0100,50.5,0.49,2.4,Form A
relationship_response_0101,50.4,0.585,10.4,Form C
relationship_response_0102,55.9,0.678,15.7,Form A
relationship_response_0103,71.8,0.837,21.5,Form C
relationship_response_0104,46.5,0.521,6.5,Form A
relationship_response_0105,52.6,0.269,17.7,Form C
relationship_response_0106,61.9,0.392,8.1,Form A
relationship_response_0107,56.5,0.54,5.4,Form C
relationship_response_0108,66.2,0.3,10.1,Form C
relationship_response_0109,60.5,0.378,13.2,Form C
relationship_response_0110,56,0.387,20.8,Form B
relationship_response_0111,20.1,0.258,-4.8,Form C
relationship_response_0112,46.7,0.218,-4.9,Form A
relationship_response_0113,64.9,0.347,11.9,Form B
relationship_response_0114,51.9,0.628,11.5,Form B
relationship_response_0115,58.7,0.391,8.1,Form C
relationship_response_0116,95,0.561,43.3,Form B
