"synthetic_student_id","synthetic_section","assignment_id","assignment_label","assignment_sequence","assignment_family","skill_domain","reference_column_index","score","score_min","score_max","score_percent","completed","missingness_reason","ability_band","engagement_band","risk_band"
"synthetic_student_001","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"missing_submission","approaching","steady","elevated"
"synthetic_student_002","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"missing_submission","developing","steady","high"
"synthetic_student_003","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"missing_submission","developing","low","high"
"synthetic_student_004","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"not_administered","developing","emerging","low"
"synthetic_student_005","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"missing_submission","approaching","low","high"
"synthetic_student_006","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"excused_or_absent","advanced","high","low"
"synthetic_student_007","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"missing_submission","advanced","high","low"
"synthetic_student_008","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"missing_submission","approaching","steady","elevated"
"synthetic_student_009","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"late_or_incomplete","advanced","emerging","elevated"
"synthetic_student_010","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"late_or_incomplete","developing","low","high"
"synthetic_student_011","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"missing_submission","developing","emerging","high"
"synthetic_student_012","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,100,100,100,,TRUE,"completed","developing","high","low"
"synthetic_student_013","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"not_administered","proficient","steady","moderate"
"synthetic_student_014","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"missing_submission","approaching","steady","high"
"synthetic_student_015","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"missing_submission","developing","low","high"
"synthetic_student_016","Section A","assignment_01","Assignment 12",1,"Diagnostic","Conceptual Fluency",12,,100,100,,FALSE,"not_administered","approaching","high","moderate"
